ds,y
31/10/2016,21
07/11/2016,24
14/11/2016,26
21/11/2016,24
28/11/2016,27
05/12/2016,23
12/12/2016,25
19/12/2016,27
26/12/2016,20
02/01/2017,18
09/01/2017,19
16/01/2017,23
23/01/2017,21
30/01/2017,22
06/02/2017,16
13/02/2017,14
20/02/2017,18
27/02/2017,16
06/03/2017,19
13/03/2017,20
20/03/2017,16
27/03/2017,14
03/04/2017,13
10/04/2017,17
17/04/2017,8
24/04/2017,12
01/05/2017,10
08/05/2017,9
15/05/2017,13
22/05/2017,15
29/05/2017,11
05/06/2017,10
12/06/2017,11
19/06/2017,10
26/06/2017,14
03/07/2017,15
10/07/2017,14
17/07/2017,13
24/07/2017,15
31/07/2017,14
07/08/2017,20
14/08/2017,16
21/08/2017,16
28/08/2017,22
04/09/2017,18
11/09/2017,21
18/09/2017,21
25/09/2017,23
02/10/2017,25
09/10/2017,31
16/10/2017,30
23/10/2017,20
30/10/2017,26
06/11/2017,25
13/11/2017,27
20/11/2017,30
27/11/2017,27
04/12/2017,36
11/12/2017,31
18/12/2017,28
25/12/2017,27
01/01/2018,22
08/01/2018,23
15/01/2018,23
22/01/2018,20
29/01/2018,22
05/02/2018,20
12/02/2018,15
19/02/2018,20
26/02/2018,17
05/03/2018,16
12/03/2018,15
19/03/2018,17
26/03/2018,18
02/04/2018,21
09/04/2018,14
16/04/2018,14
23/04/2018,15
30/04/2018,10
07/05/2018,15
14/05/2018,11
21/05/2018,16
28/05/2018,14
04/06/2018,15
11/06/2018,14
18/06/2018,14
25/06/2018,16
02/07/2018,13
09/07/2018,14
16/07/2018,14
23/07/2018,13
30/07/2018,15
06/08/2018,15
13/08/2018,15
20/08/2018,18
27/08/2018,13
03/09/2018,20
10/09/2018,18
17/09/2018,22
24/09/2018,27
01/10/2018,27
08/10/2018,27
15/10/2018,28
22/10/2018,34
29/10/2018,27
05/11/2018,24
12/11/2018,25
19/11/2018,33
26/11/2018,31
03/12/2018,30
10/12/2018,29
17/12/2018,31
24/12/2018,29
31/12/2018,25
07/01/2019,26
14/01/2019,28
21/01/2019,23
28/01/2019,24
04/02/2019,22
11/02/2019,26
18/02/2019,21
25/02/2019,23
04/03/2019,16
11/03/2019,18
18/03/2019,19
25/03/2019,17
01/04/2019,15
08/04/2019,18
15/04/2019,14
22/04/2019,15
29/04/2019,16
06/05/2019,18
13/05/2019,14
20/05/2019,13
27/05/2019,11
03/06/2019,14
10/06/2019,11
17/06/2019,16
24/06/2019,11
01/07/2019,10
08/07/2019,10
15/07/2019,9
22/07/2019,16
29/07/2019,15
05/08/2019,15
12/08/2019,16
19/08/2019,14
26/08/2019,21
02/09/2019,19
09/09/2019,27
16/09/2019,22
23/09/2019,25
30/09/2019,30
07/10/2019,39
14/10/2019,37
21/10/2019,35
28/10/2019,35
04/11/2019,25
11/11/2019,38
18/11/2019,35
25/11/2019,41
02/12/2019,36
09/12/2019,34
16/12/2019,35
23/12/2019,38
30/12/2019,27
06/01/2020,27
13/01/2020,27
20/01/2020,23
27/01/2020,28
03/02/2020,28
10/02/2020,30
17/02/2020,25
24/02/2020,20
02/03/2020,20
09/03/2020,11
16/03/2020,12
23/03/2020,12
30/03/2020,14
06/04/2020,14
13/04/2020,11
20/04/2020,11
27/04/2020,15
04/05/2020,12
11/05/2020,11
18/05/2020,15
25/05/2020,7
01/06/2020,13
08/06/2020,14
15/06/2020,13
22/06/2020,13
29/06/2020,11
06/07/2020,11
13/07/2020,13
20/07/2020,13
27/07/2020,17
03/08/2020,17
10/08/2020,20
17/08/2020,17
24/08/2020,17
31/08/2020,23
07/09/2020,29
14/09/2020,31
21/09/2020,37
28/09/2020,39
05/10/2020,43
12/10/2020,46
19/10/2020,50
26/10/2020,29
02/11/2020,35
09/11/2020,39
16/11/2020,42
23/11/2020,48
30/11/2020,44
07/12/2020,45
14/12/2020,44
21/12/2020,50
28/12/2020,45
04/01/2021,41
11/01/2021,34
18/01/2021,39
25/01/2021,39
01/02/2021,37
08/02/2021,38
15/02/2021,39
22/02/2021,30
01/03/2021,30
08/03/2021,30
15/03/2021,29
22/03/2021,28
29/03/2021,27
05/04/2021,23
12/04/2021,27
19/04/2021,21
26/04/2021,22
03/05/2021,18
10/05/2021,24
17/05/2021,21
24/05/2021,29
31/05/2021,16
07/06/2021,17
14/06/2021,20
21/06/2021,19
28/06/2021,21
05/07/2021,21
12/07/2021,19
19/07/2021,23
26/07/2021,25
02/08/2021,24
09/08/2021,31
16/08/2021,30
23/08/2021,43
30/08/2021,42
06/09/2021,50
13/09/2021,50
20/09/2021,73
27/09/2021,81
04/10/2021,83
11/10/2021,95
18/10/2021,100
